transaction_hash,block_number,timestamp,chain,from_address,to_address,amount_usd,gas_fee_usd,token_symbol,tx_type,status,year,month,day
0x37693cfc748049e45d87b8c7d8b9aacd,18891072,2024-01-01 07:40:00,ethereum,0xac8bd8e5b84c18be6dec7ed7d2b8af3b,0x07dc8fb64e6b30879591ead540311c0c,1.0,1.2878,USDC,swap,confirmed,2024,1,1
0x1ff1de774005f8da13f42943881c655f,18029324,2024-01-01 08:00:00,bitcoin,0x6ec4fcf329f1071fb16b48feb03da0e8,0x6d7826bc4047215c93a79328e9405eb3,1.14,22.6939,USDT,transfer,failed,2024,1,1
0x8e296a067a37563370ded05f5a3bf3ec,18439720,2024-01-01 08:20:00,polygon,0x0a87b89484bc3a8fe47faeac616a6522,0xfffa4fac6116f20d8905ed8bb6aa7869,2971.65,2.2681,ETH,transfer,confirmed,2024,1,1
0x4e732ced3463d06de0ca9a15b6153677,18476180,2024-01-01 08:40:00,bitcoin,0x39c08709b132f1bd71746399ba26bd82,0x4e47b78eb10721635b8d7ac3ad983cdd,78.45,15.6723,USDT,burn,confirmed,2024,1,1
0x02e74f10e0327ad868d138f2b4fdd6f0,18817657,2024-01-01 09:00:00,solana,0xf7dc4be90d41709f7532e72c7add4a5a,0xe8118364a0fe91a4277a0006d551a7fc,87.15,3.3048,USDT,swap,confirmed,2024,1,1
0x33e75ff09dd601bbe69f351039152189,18668731,2024-01-01 09:20:00,bitcoin,0x286ba612fb135f649f0799eec367baa7,0xf8187ecc361b8a31bed7819848b8607e,214.65,9.3582,BTC,mint,confirmed,2024,1,1
0x6ea9ab1baa0efb9e19094440c317e21b,18340775,2024-01-01 09:40:00,ethereum,0xe6eff24a51ff842e489234ef8e73ecca,0xe8b235527f47295df46e781301a8b2f1,54.56,7.0058,USDC,transfer,confirmed,2024,1,1
0x34173cb38f07f89ddbebc2ac9128303f,18574031,2024-01-01 10:00:00,ethereum,0xec597c2b244b1883b3a45e6946accdf4,0xb0629c40ad796c53f1c914700ba34054,18.67,2.5146,USDC,stake,confirmed,2024,1,1
0xc16a5320fa475530d9583c34fd356ef5,18002810,2024-01-01 10:20:00,ethereum,0x7395a40c2362452913eaa4229613870f,0x5c38476a6ecc93f8bb68bde4c4b59fc3,196.48,2.9021,MATIC,swap,confirmed,2024,1,1
0x6364d3f0f495b6ab9dcf8d3b5c6e0b01,18460571,2024-01-01 10:40:00,polygon,0x4ad46be569763c9f1720414e7814a9ed,0x49e2453a4d7f1a94e6d0edfccb0e2e66,11.16,2.194,BTC,transfer,confirmed,2024,1,1
0x182be0c5cdcd5072bb1864cdee4d3d6e,18502590,2024-01-01 11:00:00,bitcoin,0xc9395d77dced2d02b85c5f63b54bb9a8,0xef1e9bd607e0693fb4e3850d200a3650,367.85,17.9374,ETH,transfer,confirmed,2024,1,1
0xe369853df766fa44e1ed0ff613f563bd,18326373,2024-01-01 11:20:00,polygon,0x7697b10474c0f8200f63f7a94f443762,0x615d92d57a77bab3a9cc26cd857f163c,2007.73,2.8464,USDC,swap,confirmed,2024,1,1
0x1c383cd30b7c298ab50293adfecb7b18,18072420,2024-01-01 11:40:00,bitcoin,0x4be93e1593242bd5cd9c92380954055e,0xa9d7d171e2c8c1fcec1b0e339537f788,703.56,4.5784,BTC,swap,confirmed,2024,1,1
0x19ca14e7ea6328a42e0eb13d585e4c22,18015852,2024-01-01 12:00:00,polygon,0x6e56af5e2c22a47bde0910fcb1fc3894,0x4a6b5b9f87ca60bb152ac1f3580ac5d0,201.0,4.6521,USDT,transfer,confirmed,2024,1,1
0xa5bfc9e07964f8dddeb95fc584cd965d,18629497,2024-01-01 12:20:00,ethereum,0x45328bd57a567b16f587825936e9a66b,0x1adf154e3b52f29f974e32d78809ced3,502.18,9.614,MATIC,transfer,confirmed,2024,1,1
0xa5771bce93e200c36f7cd9dfd0e5deaa,18035902,2024-01-01 12:40:00,solana,0xb95d9f00a15a80ffdf404b709b560817,0x5cc2e6e2c15584aaa276c7d3f914781b,130.67,13.5139,ETH,transfer,confirmed,2024,1,1
0xd67d8ab4f4c10bf22aa353e27879133c,18140817,2024-01-01 13:00:00,ethereum,0x6946d3c06352c1ee3834c08de0828db9,0x338029789feb38559574d53e2ebf0677,170.34,9.0636,USDT,transfer,confirmed,2024,1,1
0xd645920e395fedad7bbbed0eca3fe2e0,18477257,2024-01-01 13:20:00,solana,0xf8966bcb690245f77d4099b149039143,0x508bda5f113244a58f1ce4ebce927e2d,788.01,5.3815,USDC,mint,confirmed,2024,1,1
0x3416a75f4cea9109507cacd8e2f2aefc,18963744,2024-01-01 13:40:00,bitcoin,0xabf4b21b695d1c74010795a60827c9f9,0x9127b9b843f0223c61cc2a0b3cc89c06,43.48,7.0401,USDC,swap,confirmed,2024,1,1
0xa1d0c6e83f027327d8461063f4ac58a6,18240917,2024-01-01 14:00:00,ethereum,0x7693a918d5cf7e46e3a875b20763ee06,0x0b3ef3e853df2b5f4e91a665dec3aa93,676.49,17.6839,USDT,stake,confirmed,2024,1,1
0x17e62166fc8586dfa4d1bc0e1742c08b,18694511,2024-01-01 14:20:00,solana,0xf322bd55c44f8ff7937b6dfe28791605,0x7c00a63dbf451c5661398ed094468e36,13287.81,7.2235,USDC,swap,confirmed,2024,1,1
0xf7177163c833dff4b38fc8d2872f1ec6,18979113,2024-01-01 14:40:00,bitcoin,0x7d81ee826eee4b11e0c782db8fa0b985,0xf1b418fc1c580fa5fd44bb11a4ed29a5,41.99,11.1552,BTC,swap,confirmed,2024,1,1
0x6c8349cc7260ae62e3b1396831a8398f,18609123,2024-01-01 15:00:00,polygon,0x60fd74be9f25ce3f63f5d1e395e2c38a,0x1d8018149a9e603dc9784462d87a3973,801.1,12.8464,BTC,transfer,confirmed,2024,1,1
0xd9d4f495e875a2e075a1a4a6e1b9770f,18375315,2024-01-01 15:20:00,ethereum,0x2fac021875daa4229d6e32e9a76f6cf0,0xdb7ef65d172eab9ea7f610b15e043e0e,105.01,1.7973,USDC,transfer,confirmed,2024,1,1
0x67c6a1e7ce56d3d6fa748ab6d9af3fd7,18254742,2024-01-01 15:40:00,solana,0xab14ff0147e07c255f77f30a14fa4ffe,0x811243af76a9cf5b3aeb4eec87e20492,284.4,4.2366,BTC,swap,confirmed,2024,1,1
0x642e92efb79421734881b53e1e1b18b6,18161690,2024-01-01 16:00:00,ethereum,0xa37b224953ee13a9e7f1c428577dbb5a,0xfb1eb265582bb9130fc0a57327f1d6ad,41.77,2.6227,ETH,transfer,confirmed,2024,1,1
0xf457c545a9ded88f18ecee47145a72c0,18905906,2024-01-01 16:20:00,solana,0xceba70a099317d3a7a53943e5a1ee14b,0xc7810b357384cf5c34037e22f4811b7c,10.07,13.3184,ETH,transfer,confirmed,2024,1,1
0xc0c7c76d30bd3dcaefc96f40275bdc0a,18260027,2024-01-01 16:40:00,ethereum,0xed70740c50b1d5930cabb34ee105ce89,0x8f6c8d2a69efc09c8a3acbde70efdbbf,49.93,18.2919,USDC,swap,confirmed,2024,1,1
0x2838023a778dfaecdc212708f721b788,18180997,2024-01-01 17:00:00,ethereum,0x407cdff8a8abc093b64398c8db47ed58,0xa0f2134c15080c2356b0c4d2b4802328,3116.6,4.1928,ETH,transfer,confirmed,2024,1,1
0x9a1158154dfa42caddbd0694a4e9bdc8,18912012,2024-01-01 17:20:00,bitcoin,0x974d78e98b9a3e694af8501a480e308a,0xcaa1757474d117251888f47066dc3d28,429.45,7.6848,USDT,swap,confirmed,2024,1,1
0xd82c8d1619ad8176d665453cfb2e55f0,18797024,2024-01-01 17:40:00,polygon,0x0d78b4e3d94bcb4c9237b747d990bb8b,0x031649b8c084b1dbb37cb2c30fe30553,282.26,18.3872,BTC,swap,confirmed,2024,1,1
0xa684eceee76fc522773286a895bc8436,18976636,2024-01-01 18:00:00,polygon,0x63a574030818f05d6b619ef253547580,0x52b39c3ad6cfb4dc378e308a77721f85,90.76,8.2219,BTC,stake,confirmed,2024,1,1
0xb53b3a3d6ab90ce0268229151c9bde11,18911285,2024-01-01 18:20:00,ethereum,0x0a553fe70d8c9045ea2116fea7c9ae30,0xf28d8674c8aa8e1ed33b353881daa283,1366.15,3.952,USDC,transfer,confirmed,2024,1,1
0x9f61408e3afb633e50cdf1b20de6f466,18333531,2024-01-01 18:40:00,ethereum,0xa785f8fb510fa8935cb925c11519b338,0xa0afd6926c1ff68e9938514a3e2b177b,555.75,16.3205,MATIC,stake,confirmed,2024,1,1
0x72b32a1f754ba1c09b3695e0cb6cde7f,18163073,2024-01-01 19:00:00,ethereum,0x7ab26df3e44573b38bb0adc3ecdef4b3,0x4fd74d73a5de3c3f1fa1a86330ccbc25,67.1,6.4484,USDT,swap,failed,2024,1,1
0x66f041e16a60928b05a7e228a89c3799,18550316,2024-01-01 19:20:00,ethereum,0x6a4f60ff5de9fb82d5a18db9e49eab39,0xbcc5ead125e2a4354b73a8f2836984c8,217.8,3.3661,MATIC,swap,confirmed,2024,1,1
0x093f65e080a295f8076b1c5722a46aa2,18402251,2024-01-01 19:40:00,polygon,0x2623a6c971bdf2b1e798b0aad971ed76,0x865844649c1b8699bedbdb5e537bec98,496.28,6.5861,ETH,stake,confirmed,2024,1,1
0x072b030ba126b2f4b2374f342be9ed44,18634994,2024-01-01 20:00:00,ethereum,0x82a0c64062411b4c029563f9f49bbf20,0x9db66c78dd0a5abeb04990b88af60b31,9.76,15.6617,BTC,transfer,confirmed,2024,1,1
0x7f39f8317fbdb1988ef4c628eba02591,18950283,2024-01-01 20:20:00,polygon,0x8e796056366d0970b6672a47482948b3,0xd4cd917fce40b8735872d7ead611e67e,52075.54,4.9836,MATIC,swap,confirmed,2024,1,1
0x44f683a84163b3523afe57c2e008bc8c,18011997,2024-01-01 20:40:00,ethereum,0x198e0fd8f9f926dbf9b839f60e760174,0x429fed7d5d3c50c3023c9b348bff1031,211.64,5.5771,ETH,transfer,confirmed,2024,1,1
0x03afdbd66e7929b125f8597834fa83a4,18775263,2024-01-01 21:00:00,ethereum,0xe78fbb03009e14d7f727f639b8359c3c,0x9c70210746f47e02c79b9975d452bc59,35.38,4.2942,USDT,transfer,confirmed,2024,1,1
0xea5d2f1c4608232e07d3aa3d998e5135,18350065,2024-01-01 21:20:00,bitcoin,0xa3f7c07b9c61617d70d7dd2b8d9959fc,0x88f350a60198bddc45af39f0645d9f21,434.19,7.0344,ETH,swap,confirmed,2024,1,1
0xfc490ca45c00b1249bbe3554a4fdf6fb,18881961,2024-01-01 21:40:00,polygon,0x276a5657c61b7fef10a83980497ec692,0xe92d0514fffc914b7f1161250a7f03f8,10171.35,17.9384,USDT,transfer,confirmed,2024,1,1
0x3295c76acbf4caaed33c36b1b5fc2cb1,18412795,2024-01-01 22:00:00,polygon,0x9bbeb0676910456e7794617b8df31ce7,0x989ba1783be923e7ad9bc90e52ecbbcf,180.06,1.7857,MATIC,mint,confirmed,2024,1,1
0x735b90b4568125ed6c3f678819b6e058,18887713,2024-01-01 22:20:00,bitcoin,0x3e372031b6c826c7d9c36ab5081d979f,0x676487ba4b7841a2521566cd1b6f5991,632.26,1.9789,ETH,transfer,failed,2024,1,1
0xa3f390d88e4c41f2747bfa2f1b5f87db,18741644,2024-01-01 22:40:00,ethereum,0x82bae3d2e3a49830d7264296bfd301cd,0x672c52737a34664e883db019c514db5a,2.86,12.0551,USDT,transfer,confirmed,2024,1,1
0x14bfa6bb14875e45bba028a21ed38046,18998477,2024-01-01 23:00:00,bitcoin,0xbc40b25c4dcfbad21b4852a8e442f47d,0x51e847f84241ace98ffe6b16e83a30ce,51.7,14.8226,ETH,stake,confirmed,2024,1,1
0x7cbbc409ec990f19c78c75bd1e06f215,18107980,2024-01-01 23:20:00,solana,0x4ec5af103012e9466c389fa9db916c71,0xb5dbedee126b007d4bb858c94afa0b17,3.66,5.9605,USDT,transfer,confirmed,2024,1,1
0xe2c420d928d4bf8ce0ff2ec19b371514,18284131,2024-01-01 23:40:00,polygon,0x3b62885a8329e926446da5fa0a759599,0x9c3a1ecdeeb008ebd5df9d1d71d27759,4123.34,3.8223,BTC,transfer,confirmed,2024,1,1
0x32bb90e8976aab5298d5da10fe66f21d,18279640,2024-01-02 00:00:00,bitcoin,0x65c63f647a399ae6bb2bf799b2ecf48b,0x2ab55e984e1b4b7ea4dfe7b598a49e27,88.35,5.2681,USDT,transfer,confirmed,2024,1,2
0xd2ddea18f00665ce8623e36bd4e3c7c5,18718312,2024-01-02 00:20:00,polygon,0x7ecec77a23ac7ff2552b2fcf89f3efdc,0x0c852db4fa04af7597657ec5ca11f895,14.5,8.0227,USDC,transfer,confirmed,2024,1,2
0xad61ab143223efbc24c7d2583be69251,18529865,2024-01-02 00:40:00,bitcoin,0x12c89376239501fb59282fb5edb68883,0xce4f95bc7ab40a743a38a827a3bd0dbb,316.51,3.0417,ETH,transfer,confirmed,2024,1,2
0xd09bf41544a3365a46c9077ebb5e35c3,18410226,2024-01-02 01:00:00,polygon,0x3f9c090ed0188686b38dc2f4be0dab64,0x908af81148ca437396707545774ba89c,209.26,5.5535,MATIC,mint,confirmed,2024,1,2
0xfbd7939d674997cdb4692d34de8633c4,18335353,2024-01-02 01:20:00,ethereum,0x429b7f96c59e29cb51166715a8ad5f57,0xf0a1f339b8d7c0caaf9f05bcaf445df2,988.11,5.9792,ETH,swap,confirmed,2024,1,2
0x28dd2c7955ce926456240b2ff0100bde,18045032,2024-01-02 01:40:00,bitcoin,0x6911a93dbfb1a647686c2ba2ca2c70e2,0x2c37b31984da25d83509b76b409389ea,458.31,16.4793,MATIC,transfer,confirmed,2024,1,2
0x35f4a8d465e6e1edc05f3d8ab658c551,18453387,2024-01-02 02:00:00,polygon,0x9d5b4c43ed6b1f04f43602ae26def12e,0xa9f2585ee4ad489271ea85b0a5597054,1157.2,14.8099,ETH,stake,confirmed,2024,1,2
0xd1fe173d08e959397adf34b1d77e88d7,18939008,2024-01-02 02:20:00,ethereum,0xdf90ca6680bc1fee5f597e68e2bdf8f1,0x4bd72fc70683cb5128aca04d75e928fa,44.12,10.2176,ETH,swap,confirmed,2024,1,2
0xf033ab37c30201f73f142449d037028d,18291479,2024-01-02 02:40:00,polygon,0x7abc639eac9341d874a38cfaa31fdd5d,0xcd5552335c77b6a98dfa02bd48aef65e,34.24,3.6591,USDT,stake,confirmed,2024,1,2
0x43ec517d68b6edd3015b3edc9a11367b,18025021,2024-01-02 03:00:00,polygon,0x9655f83cc2e491a9ec86408f0b29707f,0x89c3d182334cf50f22c815254b365715,64.9,5.6613,BTC,transfer,confirmed,2024,1,2
0x9778d5d219c5080b9a6a17bef029331c,18822795,2024-01-02 03:20:00,solana,0x3d2bdd7127d5b13d05db0eb63c54153c,0xe0a30de2e991c0b061960bd8107238d4,9079.13,2.214,USDC,transfer,confirmed,2024,1,2
0xfe9fc289c3ff0af142b6d3bead98a923,18519907,2024-01-02 03:40:00,polygon,0x66a7b361e0dfccab8c8146a49781a7a1,0xaecd461a32696ac5e707e09db6f36ee7,63.21,1.0374,USDT,burn,confirmed,2024,1,2
0x68d30a9594728bc39aa24be94b319d21,18528498,2024-01-02 04:00:00,polygon,0x6e534aee15dd957db5509154f74fbb62,0xb726f03f821d95776c7d20a4bced0d8f,5255.84,6.9322,USDT,transfer,confirmed,2024,1,2
0x3ef815416f775098fe977004015c6193,18867824,2024-01-02 04:20:00,bitcoin,0x7afaca50ca74f431d757c79b90873448,0xecf88bbf1c07c4603f5a1cbd30bd7362,27021.98,3.6771,USDT,transfer,confirmed,2024,1,2
0x93db85ed909c13838ff95ccfa94cebd9,18635302,2024-01-02 04:40:00,polygon,0x5a44fe3651bec157f3cf646e9a71b78f,0x51b063be7fd0380bb41c2c66f1ec5e77,286.31,1.8164,BTC,swap,confirmed,2024,1,2
0xc7e1249ffc03eb9ded908c236bd1996d,18819581,2024-01-02 05:00:00,solana,0xb1826747cd38457c483eaa7f144e766e,0xe8a60d1ba8a8e045bc834248f64c319d,1.76,4.8526,BTC,stake,confirmed,2024,1,2
0x2a38a4a9316c49e5a833517c45d31070,18800752,2024-01-02 05:20:00,ethereum,0x468df68dcecda0299e6da726968a3dba,0xc08840ab5a93287611b116e9271bd4c5,27.21,7.1501,ETH,transfer,confirmed,2024,1,2
0x7647966b7343c29048673252e490f736,18050626,2024-01-02 05:40:00,solana,0x7a9e23e20d7b107df43362f5fdad6574,0x8943bfce139854c7d9819d9c112d4d67,1.89,1.9615,ETH,transfer,confirmed,2024,1,2
0x8613985ec49eb8f757ae6439e879bb2a,18745962,2024-01-02 06:00:00,ethereum,0x3c34433f7618b5e90d81919c96c03cff,0xb59ea3944c72fde0519d6a943b3d720f,371.43,2.7618,ETH,swap,confirmed,2024,1,2
0x54229abfcfa5649e7003b83dd4755294,18033875,2024-01-02 06:20:00,ethereum,0xd2c3d7d9cf93bc76809e42c8af6d7a67,0x8a5c3a15843c97fe7bfb6f1b63248b90,111.42,2.9775,MATIC,transfer,confirmed,2024,1,2
0x92cc227532d17e56e07902b254dfad10,18752274,2024-01-02 06:40:00,ethereum,0xce9c629623d9c2ef3e724b7b656a7a76,0x463f2dd2db72842511fec69128e48489,67.94,6.6478,USDT,stake,confirmed,2024,1,2
0x98dce83da57b0395e163467c9dae521b,18208956,2024-01-02 07:00:00,bitcoin,0x7e49671bbdf7196c59db8f1b8c973e4b,0x65eb4e91005f624dc72df7f5e210ea44,348.81,4.9268,USDT,swap,confirmed,2024,1,2
0xf4b9ec30ad9f68f89b29639786cb62ef,18266344,2024-01-02 07:20:00,bitcoin,0x44e4771dc964fe9cbee316c7a3b2f196,0x14613499cfb1166ebfa34a90c791cc6f,597.4,4.1024,BTC,transfer,confirmed,2024,1,2
0x812b4ba287f5ee0bc9d43bbf5bbe87fb,18586362,2024-01-02 07:40:00,bitcoin,0xdc6dd08dd9a835dab3f17eaa7f413d2e,0x2aa0efb7c0a85ab8b024cd3e89d15a57,167.45,4.5692,USDT,transfer,confirmed,2024,1,2
0x26657d5ff9020d2abefe558796b99584,18560547,2024-01-02 08:00:00,bitcoin,0x45ff989eb2826b41ffe5b67539610d3d,0xb1c9ad10ae33d24178d39a26a9069529,6.58,17.8311,USDT,swap,confirmed,2024,1,2
0xe2ef524fbf3d9fe611d5a8e90fefdc9c,18494189,2024-01-02 08:20:00,ethereum,0x462448dda93ff83b4c535d312baf33d7,0x7b248239c53a768f0bf0ad594379a146,449.69,8.954,ETH,swap,confirmed,2024,1,2
0xed3d2c21991e3bef5e069713af9fa6ca,18585909,2024-01-02 08:40:00,solana,0x121f7c48298a4b87337defef069924d5,0xc743bf528ad147cef758c662683a4196,10.17,5.8496,USDC,transfer,confirmed,2024,1,2
0xac627ab1ccbdb62ec96e702f07f6425b,18770077,2024-01-02 09:00:00,bitcoin,0xedfafc948d914f469a5306dc1a4492ea,0xa093294c86a2099775e5807087abf76a,789.31,2.9219,USDT,transfer,confirmed,2024,1,2
0xf899139df5e1059396431415e770c6dd,18636565,2024-01-02 09:20:00,ethereum,0x5793700343a62eb759b41f2003632cfd,0x4bad5ce6d830e02c342a9f04c1030e88,349.19,5.415,ETH,swap,confirmed,2024,1,2
0x38b3eff8baf56627478ec76a704e9b52,18913001,2024-01-02 09:40:00,ethereum,0xeee0aab16da98010e9ab145300fd0650,0xc4a255478094f7eec53cdf116bf5147b,371.05,3.8012,ETH,mint,confirmed,2024,1,2
0xec8956637a99787bd197eacd77acce5e,18575596,2024-01-02 10:00:00,polygon,0x6423c2b12ffefa3268a6ea0959d1e46e,0x16205a6358472ac816fae3ef50573616,1594.52,10.984,BTC,stake,confirmed,2024,1,2
0x6974ce5ac660610b44d9b9fed0ff9548,18391908,2024-01-02 10:20:00,ethereum,0xac8bd8e5b84c18be6dec7ed7d2b8af3b,0xa7561dfa8606c67a28c2c00f4cdda74d,516.88,77.9443,USDC,mint,confirmed,2024,1,2
0xc9e1074f5b3f9fc8ea15d152add07294,18203681,2024-01-02 10:40:00,bitcoin,0x6ec4fcf329f1071fb16b48feb03da0e8,0x7a8f9a757052045d48c8c6524a1dd4bb,56.57,1.6462,BTC,swap,confirmed,2024,1,2
0x65b9eea6e1cc6bb9f0cd2a47751a186f,18739373,2024-01-02 11:00:00,solana,0x0a87b89484bc3a8fe47faeac616a6522,0x0bb77b92f115a4c42f990629f50d32d8,43.28,4.412,MATIC,swap,confirmed,2024,1,2
0xf0935e4cd5920aa6c7c996a5ee53a70f,18035165,2024-01-02 11:20:00,bitcoin,0x39c08709b132f1bd71746399ba26bd82,0xcc259a5f4e53ce58293fe2e724649f0a,39.31,7.2276,ETH,transfer,confirmed,2024,1,2
0xa97da629b098b75c294dffdc3e463904,18208319,2024-01-02 11:40:00,bitcoin,0xf7dc4be90d41709f7532e72c7add4a5a,0x0d92cb318fefb97d51a95b40d31f0b1b,84.6,4.0907,ETH,transfer,confirmed,2024,1,2
0xa3c65c2974270fd093ee8a9bf8ae7d0b,18801214,2024-01-02 12:00:00,ethereum,0x286ba612fb135f649f0799eec367baa7,0x6e50aa04a991e615cad0cb9f70c5fed9,358.93,3.2673,ETH,swap,confirmed,2024,1,2
0x2723d092b63885e0d7c260cc007e8b9d,18110111,2024-01-02 12:20:00,polygon,0xe6eff24a51ff842e489234ef8e73ecca,0xf9d1004f15261856c5fc95ec480febf6,1500.44,7.8662,ETH,mint,confirmed,2024,1,2
0x5f93f983524def3dca464469d2cf9f3e,18446027,2024-01-02 12:40:00,polygon,0xec597c2b244b1883b3a45e6946accdf4,0x8b4430e4eb7fbd1a5ed62fff2ae41731,2391.4,11.9686,ETH,swap,confirmed,2024,1,2
0x698d51a19d8a121ce581499d7b701668,18812894,2024-01-02 13:00:00,bitcoin,0x7395a40c2362452913eaa4229613870f,0x668c08fa082912516df337acdce885b6,1308.85,4.8864,USDT,stake,confirmed,2024,1,2
0x7f6ffaa6bb0b408017b62254211691b5,18504587,2024-01-02 13:20:00,bitcoin,0x4ad46be569763c9f1720414e7814a9ed,0xcfc554255d483e8d2e67dc39058812eb,371.0,7.662,ETH,transfer,confirmed,2024,1,2
